分类: 💎央视付费与数字, 名称: CCTV风云剧场, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 22 ms, 最高速率: 20.10 MiB/s, 平均速率: 5.60 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV怀旧剧场, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 21 ms, 最高速率: 20.84 MiB/s, 平均速率: 13.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV第一剧场, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 22 ms, 最高速率: 19.72 MiB/s, 平均速率: 10.15 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV风云音乐, 有效: 3, IPv4: 5, IPv6: 0, 最小延迟: 15 ms, 最高速率: 11.30 MiB/s, 平均速率: 6.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV风云足球, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 21 ms, 最高速率: 13.40 MiB/s, 平均速率: 11.29 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV高尔夫网球, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 15 ms, 最高速率: 1.48 MiB/s, 平均速率: 0.77 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV兵器科技, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 21 ms, 最高速率: 18.02 MiB/s, 平均速率: 17.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV世界地理, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 16 ms, 最高速率: 31.97 MiB/s, 平均速率: 17.54 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV文化精品, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 21 ms, 最高速率: 17.47 MiB/s, 平均速率: 17.05 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV央视台球, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 14 ms, 最高速率: 23.40 MiB/s, 平均速率: 10.57 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💎央视付费与数字, 名称: CCTV卫生健康, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 21 ms, 最高速率: 14.11 MiB/s, 平均速率: 14.11 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌟4K/8K超高清, 名称: CCTV-4K, 有效: 6, IPv4: 19, IPv6: 0, 最小延迟: 37 ms, 最高速率: 8.32 MiB/s, 平均速率: 1.53 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 🌟4K/8K超高清, 名称: CCTV-8K, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 21 ms, 最高速率: 19.04 MiB/s, 平均速率: 15.44 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌟4K/8K超高清, 名称: 广东综艺4K, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌟4K/8K超高清, 名称: 欢笑剧场4K, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 22 ms, 最高速率: 13.62 MiB/s, 平均速率: 13.62 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌟4K/8K超高清, 名称: 求索纪录4K, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 9, IPv4: 9, IPv6: 0, 最小延迟: 15 ms, 最高速率: 19.79 MiB/s, 平均速率: 9.39 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东方卫视, 有效: 8, IPv4: 10, IPv6: 0, 最小延迟: 14 ms, 最高速率: 13.94 MiB/s, 平均速率: 2.36 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 10, IPv4: 10, IPv6: 0, 最小延迟: 14 ms, 最高速率: 45.73 MiB/s, 平均速率: 6.55 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 10, IPv4: 10, IPv6: 0, 最小延迟: 15 ms, 最高速率: 31.04 MiB/s, 平均速率: 9.41 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 北京卫视, 有效: 9, IPv4: 10, IPv6: 0, 最小延迟: 14 ms, 最高速率: 21.28 MiB/s, 平均速率: 7.85 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 7, IPv4: 13, IPv6: 0, 最小延迟: 14 ms, 最高速率: 63.40 MiB/s, 平均速率: 22.90 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 8, IPv4: 9, IPv6: 0, 最小延迟: 14 ms, 最高速率: 19.75 MiB/s, 平均速率: 6.22 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 7, IPv4: 11, IPv6: 0, 最小延迟: 14 ms, 最高速率: 44.38 MiB/s, 平均速率: 9.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 7, IPv4: 10, IPv6: 0, 最小延迟: 16 ms, 最高速率: 21.33 MiB/s, 平均速率: 5.92 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 12, IPv6: 0, 最小延迟: 15 ms, 最高速率: 19.39 MiB/s, 平均速率: 6.55 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 6, IPv4: 13, IPv6: 0, 最小延迟: 21 ms, 最高速率: 19.27 MiB/s, 平均速率: 6.49 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广西卫视, 有效: 9, IPv4: 10, IPv6: 0, 最小延迟: 14 ms, 最高速率: 29.10 MiB/s, 平均速率: 6.63 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 8, IPv4: 14, IPv6: 0, 最小延迟: 22 ms, 最高速率: 19.98 MiB/s, 平均速率: 7.81 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 4, IPv4: 20, IPv6: 0, 最小延迟: 14 ms, 最高速率: 12.20 MiB/s, 平均速率: 3.28 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河北卫视, 有效: 7, IPv4: 16, IPv6: 0, 最小延迟: 15 ms, 最高速率: 20.19 MiB/s, 平均速率: 3.29 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 7, IPv4: 7, IPv6: 0, 最小延迟: 14 ms, 最高速率: 19.83 MiB/s, 平均速率: 6.96 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 7, IPv4: 15, IPv6: 0, 最小延迟: 16 ms, 最高速率: 19.71 MiB/s, 平均速率: 5.98 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 6, IPv4: 18, IPv6: 0, 最小延迟: 21 ms, 最高速率: 19.48 MiB/s, 平均速率: 3.47 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 8, IPv4: 8, IPv6: 0, 最小延迟: 21 ms, 最高速率: 18.96 MiB/s, 平均速率: 4.80 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江西卫视, 有效: 9, IPv4: 11, IPv6: 0, 最小延迟: 21 ms, 最高速率: 26.42 MiB/s, 平均速率: 6.28 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 7, IPv4: 9, IPv6: 0, 最小延迟: 21 ms, 最高速率: 21.80 MiB/s, 平均速率: 11.80 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 9, IPv4: 12, IPv6: 0, 最小延迟: 21 ms, 最高速率: 19.39 MiB/s, 平均速率: 3.42 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
